name,group,calorie,carbohydrate,protein,lipid,salt
えんばく・オートミール,1,380,69.1,13.7,5.7,0
おおむぎ・七分つき押麦,1,341,72.1,10.9,2.1,0
おおむぎ・押麦,1,340,77.8,6.2,1.3,0
おおむぎ・米粒麦,1,343,76.2,7,2.1,0
おおむぎ・大麦めん・乾,1,339,68,12.9,1.7,2.8
おおむぎ・大麦めん・ゆで,1,122,24.3,4.8,0.6,0.2
おおむぎ・麦こがし,1,391,77.1,12.5,5,0
きび・精白粒,1,363,70.9,11.3,3.3,0
こむぎ・国産・普通,1,337,72.2,10.6,3.1,0
こむぎ・輸入・軟質,1,348,75.2,10.1,3.3,0
こむぎ・輸入・硬質,1,334,69.4,13,3,0
こむぎ・薄力粉・1等,1,367,75.8,8.3,1.5,0
こむぎ・薄力粉・2等,1,368,74.3,9.3,1.9,0
こむぎ・中力粉・1等,1,367,75.1,9,1.6,0
こむぎ・中力粉・2等,1,368,74,9.7,1.8,0
こむぎ・強力粉・1等,1,365,71.7,11.8,1.5,0
こむぎ・強力粉・2等,1,366,70.6,12.6,1.7,0
こむぎ・強力粉・全粒粉,1,328,68.2,12.8,2.9,0
こむぎ・プレミックス粉・お好み焼き用,1,352,73.6,10.1,1.9,3.7
こむぎ・プレミックス粉・ホットケーキ用,1,365,74.4,7.8,4,1
こむぎ・プレミックス粉・から揚げ用,1,331,70,10.2,1.2,9.7
こむぎ・プレミックス粉・天ぷら用,1,351,76.1,8.8,1.3,0.5
こむぎ・食パン,1,264,46.7,9.3,4.4,1.3
こむぎ・コッペパン,1,265,49.1,8.5,3.8,1.3
こむぎ・乾パン,1,393,78.8,9.5,4.4,1.2
こむぎ・フランスパン,1,279,57.5,9.4,1.3,1.6
こむぎ・ライ麦パン,1,264,52.7,8.4,2.2,1.2
こむぎ・ぶどうパン,1,269,51.1,8.2,3.5,1
こむぎ・ロールパン,1,316,48.6,10.1,9,1.2
こむぎ・クロワッサン,1,448,43.9,7.9,26.8,1.2
こむぎ・イングリッシュマフィン,1,228,40.8,8.1,3.6,1.2
こむぎ・ナン,1,262,47.6,10.3,3.4,1.3
こむぎ・ベーグル,1,275,54.6,9.6,2,1.2
こむぎ・うどん・生,1,270,56.8,6.1,0.6,2.5
こむぎ・うどん・ゆで,1,105,21.6,2.6,0.4,0.3
こむぎ・干しうどん・乾,1,348,71.9,8.5,1.1,4.3
こむぎ・干しうどん・ゆで,1,126,25.8,3.1,0.5,0.5
こむぎ・そうめん・ひやむぎ・乾,1,356,72.7,9.5,1.1,3.8
こむぎ・そうめん・ひやむぎ・ゆで,1,127,25.8,3.5,0.4,0.2
こむぎ・手延そうめん・手延ひやむぎ・乾,1,342,68.9,9.3,1.5,5.8
こむぎ・手延そうめん・手延ひやむぎ・ゆで,1,127,25.5,3.5,0.6,0.3
こむぎ・中華めん・生,1,281,55.7,8.6,1.2,1
こむぎ・中華めん・ゆで,1,149,29.2,4.9,0.6,0.2
こむぎ・蒸し中華めん,1,198,38.4,5.3,1.7,0.4
こむぎ・干し中華めん・乾,1,365,73,10.5,1.6,1.3
こむぎ・干し中華めん・ゆで,1,140,28.1,4.1,0.5,0.2
こむぎ・沖縄そば・生,1,284,54.2,9.2,2,2.1
こむぎ・沖縄そば・ゆで,1,147,28,5.2,0.8,0.4
こむぎ・干し沖縄そば・乾,1,351,67.8,12,1.7,4.3
こむぎ・干し沖縄そば・ゆで,1,148,28.6,5.2,0.6,0.5
こむぎ・即席中華めん・油揚げ味付け,1,445,63.5,10.1,16.7,6.4
こむぎ・即席中華めん・油揚げ,1,458,61.4,10.1,19.1,5.6
こむぎ・即席中華めん・非油揚げ,1,356,67.1,10.3,5.2,6.9
こむぎ・中華スタイル即席カップめん・油揚げ,1,448,56.9,10.7,19.7,6.9
こむぎ・中華スタイル即席カップめん・油揚げ・焼きそば,1,436,58.1,8.4,18.9,3.8
こむぎ・中華スタイル即席カップめん・非油揚げ,1,342,62.2,9,6.4,6.9
こむぎ・和風スタイル即席カップめん・油揚げ,1,451,56.6,10.9,20.1,6.9
こむぎ・マカロニ・スパゲッティ・乾,1,379,73.9,12.2,1.9,0
こむぎ・マカロニ・スパゲッティ・ゆで,1,165,32,5.4,0.9,1.2
こむぎ・生パスタ・生,1,247,46.9,7.8,1.9,1.2
こむぎ・生ふ,1,163,26.2,12.7,0.8,0
こむぎ・焼きふ・釜焼きふ,1,385,56.9,28.5,2.7,0
こむぎ・焼きふ・板ふ,1,379,57.3,25.6,3.3,0.5
こむぎ・焼きふ・車ふ,1,387,54.2,30.2,3.4,0.3
こむぎ・小麦はいが,1,426,48.3,32,11.6,0
こむぎ・小麦たんぱく・粉末状,1,437,10.6,72,9.7,0.2
こむぎ・小麦たんぱく・粒状,1,111,1.8,20,2,0.1
こむぎ・小麦たんぱく・ペースト状,1,159,3.9,25,4.1,0.6
こむぎ・ぎょうざの皮,1,291,57,9.3,1.4,0
こむぎ・しゅうまいの皮,1,295,58.9,8.3,1.4,0
こむぎ・ピザ生地,1,268,51.1,9.1,3,1.3
こむぎ・ちくわぶ,1,171,31.1,7.1,1.2,0
こむぎ・パン粉・生,1,280,47.6,11,5.1,0.9
こむぎ・パン粉・半生,1,319,54.3,12.5,5.8,1
こむぎ・パン粉・乾燥,1,373,63.4,14.6,6.8,1.2
こむぎ・冷めん・生,1,252,57.6,3.9,0.7,1.3
こめ・玄米,1,353,74.3,6.8,2.7,0
こめ・半つき米,1,356,75.9,6.5,1.8,0
こめ・七分つき米,1,359,76.6,6.3,1.5,0
こめ・精白米・うるち米,1,358,77.6,6.1,0.9,0
こめ・精白米・もち米,1,359,77.2,6.4,1.2,0
こめ・精白米・インディカ米,1,369,79.1,7.5,0.8,0
こめ・はいが精米,1,357,75.8,6.5,2,0
こめ・発芽玄米,1,356,74.3,6.5,3.3,0
こめ・玄米,1,165,35.6,2.8,1,0
こめ・半つき米,1,167,36.4,2.7,0.6,0
こめ・七分つき米,1,168,36.7,2.6,0.5,0
こめ・精白米・うるち米,1,168,37.1,2.5,0.3,0
こめ・精白米・もち米,1,202,43.9,3.5,0.5,0
こめ・はいが精米,1,167,36.4,2.7,0.6,0
こめ・発芽玄米,1,167,35,3,1.4,0
こめ・玄米,1,70,15.2,1.2,0.4,0
こめ・半つき米,1,71,15.5,1.1,0.3,0
こめ・七分つき米,1,71,15.6,1.1,0.2,0
こめ・精白米,1,71,15.7,1.1,0.1,0
こめ・玄米,1,35,7.6,0.6,0.2,0
こめ・半つき米,1,35,7.7,0.6,0.1,0
こめ・七分つき米,1,35,7.7,0.6,0.1,0
こめ・精白米,1,36,7.9,0.5,0.1,0
こめ・玄米,1,20,4.4,0.4,0.1,0
こめ・半つき米,1,21,4.6,0.3,0.1,0
こめ・七分つき米,1,21,4.6,0.3,0.1,0
こめ・精白米,1,21,4.7,0.3,0,0
こめ・玄米,1,351,71.1,10.1,2.7,0
こめ・半つき米,1,355,72.9,9.6,1.8,0
こめ・七分つき米,1,358,73.4,9.5,1.5,0
こめ・精白米,1,357,74.5,9.3,0.9,0
こめ・玄米,1,164,34.3,4.1,1,0
こめ・半つき米,1,166,35.3,3.8,0.6,0
こめ・七分つき米,1,168,35.7,3.6,0.5,0
こめ・精白米,1,168,36.1,3.5,0.3,0
こめ・アルファ化米・一般用,1,388,84.8,6,1,0
こめ・アルファ化米・学校給食用強化品,1,388,84.8,6,1,0
こめ・おにぎり,1,179,39.4,2.7,0.3,0.5
こめ・焼きおにぎり,1,181,39.5,3.1,0.3,1
こめ・きりたんぽ,1,210,46.2,3.2,0.4,0
こめ・上新粉,1,362,78.5,6.2,0.9,0
こめ・玄米粉,1,395,84.1,7.1,2.9,0
こめ・米粉,1,374,81.9,6,0.7,0
こめ・米粉パン,1,255,51.3,3.4,3.1,0.9
こめ・米粉めん,1,265,58.4,3.6,0.7,0.1
こめ・ビーフン,1,377,79.9,7,1.6,0
こめ・米こうじ,1,286,59.2,5.8,1.7,0
こめ・もち,1,234,50.8,4,0.6,0
こめ・赤飯,1,190,41.9,4.3,0.6,0
こめ・あくまき,1,132,25.7,2.3,1.8,0
こめ・白玉粉,1,369,80,6.3,1,0
こめ・道明寺粉,1,372,80.4,7.1,0.7,0
こめ・米ぬか,1,412,48.8,13.4,19.6,0
そば・そば粉・全層粉,1,361,69.6,12,3.1,0
そば・そば粉・内層粉,1,359,77.6,6,1.6,0
そば・そば粉・中層粉,1,360,71.6,10.2,2.7,0
そば・そば粉・表層粉,1,358,65.1,15,3.6,0
そば・そば米,1,364,73.7,9.6,2.5,0
そば・そば・生,1,274,54.5,9.8,1.9,0
そば・そば・ゆで,1,132,26,4.8,1,0
そば・干しそば・乾,1,344,66.7,14,2.3,2.2
そば・干しそば・ゆで,1,114,22.1,4.8,0.7,0.1
とうもろこし・玄穀・黄色種,1,350,70.6,8.6,5,0
とうもろこし・玄穀・白色種,1,350,70.6,8.6,5,0
とうもろこし・コーンミール・黄色種,1,363,72.4,8.3,4,0
とうもろこし・コーンミール・白色種,1,363,72.4,8.3,4,0
とうもろこし・コーングリッツ・黄色種,1,355,76.4,8.2,1,0
とうもろこし・コーングリッツ・白色種,1,355,76.4,8.2,1,0
とうもろこし・コーンフラワー・黄色種,1,363,76.1,6.6,2.8,0
とうもろこし・コーンフラワー・白色種,1,363,76.1,6.6,2.8,0
とうもろこし・ジャイアントコーン・フライ・味付け,1,435,76.6,5.7,11.8,1.1
とうもろこし・ポップコーン,1,484,59.6,10.2,22.8,1.4
とうもろこし・コーンフレーク,1,381,83.6,7.8,1.7,2.1
はとむぎ・精白粒,1,360,72.2,13.3,1.3,0
ひえ・精白粒,1,366,73.2,9.4,3.3,0
もろこし・玄穀,1,352,71.1,10.3,4.7,0
もろこし・精白粒,1,364,74.1,9.5,2.6,0
ライむぎ・全粒粉,1,334,70.7,12.7,2.7,0
ライむぎ・ライ麦粉,1,351,75.8,8.5,1.6,0
